"","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"1","",NA,NA,NA,NA,0,0,57
"2","typenegative",535.785261945884,207.333803368892,950.452868683667,121.117655208101,171,17,3474
"3","typeneutral",NA,NA,NA,NA,0,0,3473
"4","typepositive",535.93584579977,205.550632802831,947.037111405431,124.834580194108,176,15,3476
"5","typesuicide",542.915947035118,220.968364214096,984.852675463311,100.979218606925,172,18,3474
"6","1010150",NA,NA,NA,NA,0,0,1
"7","1010170",NA,NA,NA,NA,0,0,1
"8","2914452",NA,NA,NA,NA,0,0,1
"9","479",NA,NA,NA,NA,0,0,1
"10","598",NA,NA,NA,NA,0,0,1
"11","65",67,NA,NA,NA,0,0,1
"12","67",111054.5,156960.027753884,424974.555507768,-202865.555507768,0,0,2
"13","681",NA,NA,NA,NA,0,0,1
"14","69",67,NA,NA,NA,0,0,1
"15","71",67,NA,NA,NA,0,0,1
"16","73",67,NA,NA,NA,0,0,1
"17","75",67,NA,NA,NA,0,0,1
"18","767",NA,NA,NA,NA,0,0,1
"19","77",70.5,10.6066017177982,91.7132034355964,49.2867965644036,0,0,2
"20","78",70,43.8406204335659,157.681240867132,-17.6812408671319,0,0,2
"21","alone",NA,NA,NA,NA,0,0,2
"22","colorblue",NA,NA,NA,NA,0,0,12
"23","colorred",NA,NA,NA,NA,0,0,11
"24","correct",NA,NA,NA,NA,0,0,4
"25","edc",NA,NA,NA,NA,0,0,3
"26","edn",NA,NA,NA,NA,0,0,2
"27","funeral",NA,NA,NA,NA,0,0,3
"28","happy",1000250,NA,NA,NA,0,0,1
"29","incorrect",NA,NA,NA,NA,0,0,3
"30","museum",37,NA,NA,NA,0,0,1
"31","num1",NA,NA,NA,NA,0,0,1
"32","paicipantresponsered",NA,NA,NA,NA,0,0,1
"33","pleasure",1907044.5,1268032.67039162,4443109.84078324,-629020.840783238,0,0,2
"34","rejected",2984669,NA,NA,NA,0,0,1
"35","singlestim",NA,NA,NA,NA,0,0,144
"36","suicide",1000290,NA,NA,NA,0,0,1
"37","test",NA,NA,NA,NA,0,0,3
"38","1",NA,NA,NA,NA,0,0,2
"39","1000230",NA,NA,NA,NA,0,0,1
"40","1000250",NA,NA,NA,NA,0,0,1
"41","113467",NA,NA,NA,NA,0,0,1
"42","119259",NA,NA,NA,NA,0,0,1
"43","125050",NA,NA,NA,NA,0,0,1
"44","134614",NA,NA,NA,NA,0,0,1
"45","19",77,NA,NA,NA,0,0,1
"46","21",67,NA,NA,NA,0,0,1
"47","23",77,NA,NA,NA,0,0,1
"48","25",67,NA,NA,NA,0,0,1
"49","27",67,NA,NA,NA,0,0,1
"50","29",77,NA,NA,NA,0,0,1
"51","31",1,NA,NA,NA,0,0,1
"52","372527",NA,NA,NA,NA,0,0,1
"53","dead",235657,NA,NA,NA,0,0,1
"54","ed",NA,NA,NA,NA,0,0,1
"55","edm",NA,NA,NA,NA,0,0,2
"56","paicipantresponseblue",NA,NA,NA,NA,0,0,2
"57","stupid",NA,NA,NA,NA,0,0,1
