"","SubjectID","incorr"
"1","Subject10",100
"2","Subject101",4
"3","Subject102",2
"4","Subject103",2
"5","Subject105",8
"6","Subject109",4
"7","Subject111",6
"8","Subject112",72
"9","Subject116",4
"10","Subject119",2
"11","Subject12",6
"12","Subject120",2
"13","Subject121",2
"14","Subject124",4
"15","Subject125",2
"16","Subject127",2
"17","Subject128",2
"18","Subject129",6
"19","Subject13",4
"20","Subject131",2
"21","Subject132",22
"22","Subject134",2
"23","Subject135",8
"24","Subject136",2
"25","Subject139",2
"26","Subject14",2
"27","Subject140",8
"28","Subject141",2
"29","Subject142",14
"30","Subject143",2
"31","Subject144",10
"32","Subject145",16
"33","Subject148",4
"34","Subject149",2
"35","Subject15",4
"36","Subject150",8
"37","Subject151",8
"38","Subject154",2
"39","Subject155",4
"40","Subject156",10
"41","Subject157",2
"42","Subject158",2
"43","Subject159",2
"44","Subject160",6
"45","Subject164",2
"46","Subject181",4
"47","Subject184",8
"48","Subject187",2
"49","Subject188",2
"50","Subject19",4
"51","Subject191",2
"52","Subject196",6
"53","Subject197",4
"54","Subject2",2
"55","Subject200",4
"56","Subject202",2
"57","Subject203",6
"58","Subject205",8
"59","Subject206",4
"60","Subject208",12
"61","Subject209",4
"62","Subject21",2
"63","Subject210",8
"64","Subject211",4
"65","Subject212",2
"66","Subject213",2
"67","Subject214",2
"68","Subject215",4
"69","Subject216",2
"70","Subject219",2
"71","Subject22",66
"72","Subject221",2
"73","Subject228",2
"74","Subject229",8
"75","Subject230",2
"76","Subject231",4
"77","Subject233",6
"78","Subject234",4
"79","Subject236",2
"80","Subject237",4
"81","Subject239",4
"82","Subject24",4
"83","Subject241",46
"84","Subject242",2
"85","Subject243",4
"86","Subject244",6
"87","Subject246",2
"88","Subject247",2
"89","Subject248",8
"90","Subject25",4
"91","Subject250",2
"92","Subject251",4
"93","Subject253",2
"94","Subject255",2
"95","Subject257",6
"96","Subject26",70
"97","Subject262",2
"98","Subject264",6
"99","Subject265",4
"100","Subject267",6
"101","Subject268",2
"102","Subject27",2
"103","Subject272",26
"104","Subject273",6
"105","Subject274",1
"106","Subject275",2
"107","Subject276",2
"108","Subject277",4
"109","Subject278",2
"110","Subject28",4
"111","Subject281",6
"112","Subject283",4
"113","Subject284",18
"114","Subject285",2
"115","Subject287",10
"116","Subject289",2
"117","Subject29",2
"118","Subject290",8
"119","Subject291",8
"120","Subject293",2
"121","Subject294",2
"122","Subject295",2
"123","Subject296",2
"124","Subject297",4
"125","Subject3",4
"126","Subject30",6
"127","Subject301",2
"128","Subject302",4
"129","Subject303",4
"130","Subject304",2
"131","Subject305",8
"132","Subject306",2
"133","Subject307",8
"134","Subject308",2
"135","Subject309",4
"136","Subject31",4
"137","Subject310",10
"138","Subject313",2
"139","Subject314",2
"140","Subject315",8
"141","Subject317",10
"142","Subject318",4
"143","Subject319",4
"144","Subject32",2
"145","Subject322",14
"146","Subject323",6
"147","Subject325",2
"148","Subject326",2
"149","Subject328",2
"150","Subject329",4
"151","Subject33",6
"152","Subject330",4
"153","Subject331",2
"154","Subject35",2
"155","Subject36",2
"156","Subject37",6
"157","Subject38",4
"158","Subject39",10
"159","Subject4",2
"160","Subject40",2
"161","Subject41",6
"162","Subject42",4
"163","Subject44",2
"164","Subject45",4
"165","Subject46",2
"166","Subject49",2
"167","Subject52",4
"168","Subject53",2
"169","Subject56",2
"170","Subject58",2
"171","Subject59",2
"172","Subject6",8
"173","Subject60",2
"174","Subject62",2
"175","Subject63",4
"176","Subject65",2
"177","Subject67",4
"178","Subject68",2
"179","Subject70",10
"180","Subject71",2
"181","Subject72",2
"182","Subject74",2
"183","Subject75",4
"184","Subject76",2
"185","Subject77",2
"186","Subject78",2
"187","Subject8",2
"188","Subject82",2
"189","Subject84",8
"190","Subject85",4
"191","Subject87",2
"192","Subject89",6
"193","Subject9",6
"194","Subject91",2
"195","Subject92",6
"196","Subject94",4
"197","Subject96",2
"198","Subject98",16
